model_key,first_trial_macro_f1,selected_macro_f1,macro_f1_gain,selected_trial,trials
tfidf_multinomial_nb,0.6088718643192895,0.6334523685970158,0.02458050427772629,6,10
word2vec_lstm,0.6095252029721433,0.6296072106594409,0.02008200768729762,3,4
fasttext_rnn,0.5974475881427076,0.6149366295374789,0.017489041394771254,2,4
word2vec_rnn,0.6139524075963524,0.6177357994278263,0.0037833918314739146,2,4
fasttext_random_forest,0.5953594549518848,0.5985924383456617,0.003232983393776867,3,8
word2vec_random_forest,0.5884228398213246,0.5900110052741424,0.0015881654528178135,5,8
fasttext_cnn,0.6323270019551991,0.6334797840367105,0.001152782081511372,2,4
word2vec_cnn,0.6246701575158216,0.6255679865364385,0.0008978290206169692,4,4
word2vec_gaussian_nb,0.5273345002206651,0.5279216763001681,0.0005871760795029823,4,7
fasttext_gaussian_nb,0.5053981933640372,0.5053981933640372,0.0,1,7
fasttext_lstm,0.6164206035214305,0.6164206035214305,0.0,1,4
tfidf_random_forest,0.5885562038507978,0.5885562038507978,0.0,1,8
