validation_rank,model_key,representation,classifier,selected_parameters,selected_by_validation,validation_accuracy,validation_f1_macro,validation_f1_weighted,validation_precision_macro,validation_precision_weighted,validation_recall_macro,validation_recall_weighted,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_neg_f1,test_neu_f1,test_pos_f1
1,fasttext_cnn,fasttext_sequence,cnn,"{""dropout"": 0.3, ""learning_rate"": 0.001, ""num_filters"": 128}",True,0.6609511484956325,0.6334797840367105,0.6574685868372551,0.6481667404423738,0.6612663685967005,0.6270861530203617,0.6609511484956325,0.6674215464251051,0.6524439558217706,0.6312555708383504,0.6380426626150988,0.66727834919441,0.6674215464251051,0.6641850140159766,0.699740836727138,0.6886035313001605,0.5257836198179979
2,tfidf_multinomial_nb,tfidf,multinomial_naive_bayes,"{""alpha"": 0.5, ""fit_prior"": false}",False,0.6635393076674215,0.6334523685970158,0.6611152737360178,0.6409962404846564,0.6652627211098385,0.6316753975466705,0.6635393076674215,0.6670980265286315,0.6457385293847544,0.6312066531272286,0.6348099317961645,0.6687594741031138,0.6670980265286315,0.6640879257488798,0.7086383601756955,0.6869851729818781,0.5088062622309197
3,word2vec_lstm,word2vec_sequence,lstm,"{""dropout"": 0.5, ""hidden_size"": 64, ""learning_rate"": 0.001}",False,0.6570689097379488,0.6296072106594409,0.6541653936688011,0.6405179183051625,0.6597899433633576,0.6264976743567666,0.6570689097379488,0.6554513102555807,0.6361280635950833,0.6223885169497253,0.6261755862470061,0.6563685521758504,0.6554513102555807,0.6527499117990038,0.6946902654867256,0.6721177432542927,0.51171875
4,word2vec_cnn,word2vec_sequence,cnn,"{""dropout"": 0.5, ""learning_rate"": 0.001, ""num_filters"": 128}",False,0.6580394694273698,0.6255679865364385,0.6533242524390114,0.6481621284609705,0.6559145067166848,0.6149417877486153,0.6580394694273698,0.662245228081527,0.6477493019746899,0.6155284956957461,0.625418284970008,0.6588655682540752,0.662245228081527,0.6566857470459505,0.6858054226475279,0.6985052861830113,0.49194414607948445
5,word2vec_rnn,word2vec_sequence,vanilla_rnn,"{""dropout"": 0.3, ""hidden_size"": 128, ""learning_rate"": 0.001}",False,0.645422193464898,0.6177357994278263,0.6414214048609124,0.630319538126401,0.6502979907053583,0.6163076764066285,0.645422193464898,0.645422193464898,0.6270360750562091,0.6138887513709177,0.6155645579216862,0.6502172100289767,0.645422193464898,0.6421654578994442,0.6928057553956835,0.6534066864155734,0.5004812319538018
6,fasttext_lstm,fasttext_sequence,lstm,"{""dropout"": 0.3, ""hidden_size"": 64, ""learning_rate"": 0.001}",False,0.6528631510837917,0.6164206035214305,0.648076027845733,0.6310428749115159,0.6485818899747917,0.6096153237441252,0.6528631510837917,0.6522161112908443,0.6352682052790563,0.610676781591955,0.6188899847778042,0.6488006511498514,0.6522161112908443,0.6479612677784518,0.683929931454684,0.6784751636503658,0.4942648592283629
7,fasttext_rnn,fasttext_sequence,vanilla_rnn,"{""dropout"": 0.3, ""hidden_size"": 128, ""learning_rate"": 0.001}",False,0.6467162730507926,0.6149366295374789,0.6426855402615258,0.6262201214197324,0.6448212503111204,0.6104511281414662,0.6467162730507926,0.6509220317049499,0.6278726182590476,0.607372578619684,0.6138763786039191,0.6472153319292743,0.6509220317049499,0.6464284823828113,0.6884384384384384,0.6789638932496075,0.4742268041237113
8,fasttext_random_forest,fasttext_mean,random_forest,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 200}",False,0.656098350048528,0.5985924383456617,0.6420945643399728,0.6580513696336481,0.659259950024399,0.5894346850029043,0.656098350048528,0.6706567453898414,0.6811548675547398,0.6022549396678011,0.6127531343423933,0.6780100513762537,0.6706567453898414,0.6565002042105638,0.708905315029919,0.7040376323010584,0.4253164556962025
9,word2vec_random_forest,word2vec_mean,random_forest,"{""max_depth"": 40, ""min_samples_leaf"": 1, ""n_estimators"": 200}",False,0.6470397929472662,0.5900110052741424,0.6328025707453295,0.6562485150554745,0.6529556369050189,0.5803105492180592,0.6470397929472662,0.658686509220317,0.6568190192984128,0.5893450593184516,0.5978031274357731,0.6610699854625988,0.658686509220317,0.644265469185703,0.6954674220963173,0.698945724326435,0.3989962358845671
10,tfidf_random_forest,tfidf,random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",False,0.6370106761565836,0.5885562038507978,0.6262651163195498,0.6367746286204253,0.6368816461477538,0.5771993393570284,0.6370106761565836,0.6457457133613718,0.6517607521079251,0.5828616822206795,0.59478037584255,0.6479929000408666,0.6457457133613718,0.6338484908294978,0.6666666666666666,0.6894566390788053,0.4282178217821782
11,word2vec_gaussian_nb,word2vec_mean,gaussian_naive_bayes,"{""var_smoothing"": 0.001}",False,0.569718537690068,0.5279216763001681,0.5548646980262347,0.5743023510398638,0.605999842145977,0.53585345582029,0.569718537690068,0.5803946942736978,0.5928936201210655,0.5479700462184339,0.5434590812218736,0.6190317464338044,0.5803946942736978,0.5674099045142952,0.6483412322274882,0.5442850074220683,0.43775100401606426
12,fasttext_gaussian_nb,fasttext_mean,gaussian_naive_bayes,"{""var_smoothing"": 1e-06}",False,0.5548366224522808,0.5053981933640372,0.5334960169054946,0.5688943571823506,0.601832116143657,0.5165857568313774,0.5548366224522808,0.5674538984147525,0.5961431832395246,0.5327445617428469,0.524821001640993,0.623289410914578,0.5674538984147525,0.548182591985351,0.6438314640800242,0.5099061522419187,0.42072538860103625
